link_config_id,edge_id,domain,from_file,from_source_file_ids,from_version_ids,to_file,to_source_file_ids,to_version_ids,relation,period,current_join,current_status,status_class,current_evidence,missing_key_or_control,target_join,analysis_enabled,owner_role,false_join_risk,migration_wave,integration_test_id,acceptance_criteria,configuration_state,automatable_now,stop_gate,owner_name,evidence_location,execution_status,current_join_tokens,target_join_tokens,from_field_candidates,to_field_candidates,source_defects_touching_link,technical_retest_status,after_remediation_assessment,field_lineage_rows,production_automation_allowed
LCFG-050,TAX-EDGE-050,Налоги/ФОТ,ЗП за март 2025.xlsx,FILE-035,VER-019-003,ДДС 2025.xlsx,FILE-018,VER-007-002,Payroll calculation ↔ ДДС payroll cash,2025-03,month + displayed control total,Подтверждено,Подтверждено,Сверка восстановлена до нулевой агрегатной разницы,payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-050,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Configured — controlled current link,"Да, только на текущем grain",Автоматизация допустима после owner sign-off и регулярного теста,,,Draft,month | displayed_control_total,payroll_batch_id | payment_date | employer_id,employer_id:Распределение!О(70),,,PASS at current grain,Ready for owner sign-off at current grain,3,After owner sign-off and scheduled test
LCFG-051,TAX-EDGE-051,Налоги/ФОТ,ЗП за март 2025.xlsx,FILE-035,VER-019-003,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,VER-006-001,Payroll rows ↔ bank registry,2025-03,date + amount + account,Подтверждено,Подтверждено,Сверка восстановлена до нулевой агрегатной разницы,employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-051,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Configured — controlled current link,"Да, только на текущем grain",Автоматизация допустима после owner sign-off и регулярного теста,,,Draft,date | amount | account,employee_id | payroll_batch_id | bank_payment_id,employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | bank_payment_id:Распределение!О(70) | bank_payment_id:Распределение!П(70),,,PASS at current grain,Ready for owner sign-off at current grain,3,After owner sign-off and scheduled test
LCFG-052,TAX-EDGE-052,Налоги/ФОТ,ЗП за март 2025.xlsx,FILE-035,VER-019-003,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,VER-003-001,Payroll rows ↔ bank registry,2025-03,date + amount + account,Подтверждено,Подтверждено,Сверка восстановлена до нулевой агрегатной разницы,employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-052,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Configured — controlled current link,"Да, только на текущем grain",Автоматизация допустима после owner sign-off и регулярного теста,,,Draft,date | amount | account,employee_id | payroll_batch_id | bank_payment_id,employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | bank_payment_id:Распределение!О(70) | bank_payment_id:Распределение!П(70),,,PASS at current grain,Ready for owner sign-off at current grain,3,After owner sign-off and scheduled test
LCFG-053,TAX-EDGE-053,Налоги/ФОТ,ЗП за март 2025.xlsx,FILE-035,VER-019-003,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,VER-002-003,Payroll accrual ↔ tax form,2025-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-053,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,Точный дубль,BLOCKED for production join — missing primary key/register,Evidence status unchanged; technical reproducibility improves after defect closure,4,No
LCFG-054,TAX-EDGE-054,Налоги/ФОТ,ЗП за март 2025.xlsx,FILE-035,VER-019-003,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,VER-001-002,Payroll accrual ↔ tax form,2025-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-054,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-055,TAX-EDGE-055,Налоги/ФОТ,ЗП за март 2025.xlsx,FILE-035,VER-019-003,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,VER-021-002,Payroll accrual ↔ tax form,2025-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-055,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-056,TAX-EDGE-056,Налоги/ФОТ,ЗП за март 2025.xlsx,FILE-035,VER-019-003,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,VER-021-002,Payroll accrual ↔ tax form,2025-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-056,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-057,TAX-EDGE-057,Налоги/ФОТ,ЗП за март 2025.xlsx,FILE-035,VER-019-003,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,VER-020-002,Payroll accrual ↔ tax form,2025-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-057,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-058,TAX-EDGE-058,Налоги/ФОТ,ЗП за март 2025.xlsx,FILE-035,VER-019-003,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,VER-020-002,Payroll accrual ↔ tax form,2025-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-058,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-059,TAX-EDGE-059,Налоги/ФОТ,ЗП за март 2026.xlsx,FILE-036,VER-019-009,ДДС 2026.xlxs.xlsx,FILE-019,VER-007-003,Payroll calculation ↔ ДДС payroll cash,2026-03,month + displayed control total,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-059,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | displayed_control_total,payroll_batch_id | payment_date | employer_id,,,Внешние ссылки,BLOCKED for production join — missing primary key/register,Evidence status unchanged; technical reproducibility improves after defect closure,3,No
LCFG-060,TAX-EDGE-060,Налоги/ФОТ,ЗП за март 2026.xlsx,FILE-036,VER-019-009,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,VER-006-001,Payroll rows ↔ bank registry,2026-03,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-060,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,date | amount | account,employee_id | payroll_batch_id | bank_payment_id,employee_id:Распределение!С(70) | employee_id:вышивальщицы!2026-03-01 00:00:00 / ФИО(70) | bank_payment_id:Распределение!П(70) | bank_payment_id:окладники!Итого(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-061,TAX-EDGE-061,Налоги/ФОТ,ЗП за март 2026.xlsx,FILE-036,VER-019-009,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,VER-003-001,Payroll rows ↔ bank registry,2026-03,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-061,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,date | amount | account,employee_id | payroll_batch_id | bank_payment_id,employee_id:Распределение!С(70) | employee_id:вышивальщицы!2026-03-01 00:00:00 / ФИО(70) | bank_payment_id:Распределение!П(70) | bank_payment_id:окладники!Итого(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-062,TAX-EDGE-062,Налоги/ФОТ,ЗП за март 2026.xlsx,FILE-036,VER-019-009,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,FILE-063,VER-021-003,Payroll accrual ↔ tax form,2026-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-062,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employee_id:Распределение!С(70) | employee_id:вышивальщицы!2026-03-01 00:00:00 / ФИО(70) | accrual_period:Распределение!П(70) | accrual_period:Распределение!С(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-063,TAX-EDGE-063,Налоги/ФОТ,ЗП за март 2026.xlsx,FILE-036,VER-019-009,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,FILE-063,VER-021-003,Payroll accrual ↔ tax form,2026-03,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-063,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employee_id:Распределение!С(70) | employee_id:вышивальщицы!2026-03-01 00:00:00 / ФИО(70) | accrual_period:Распределение!П(70) | accrual_period:Распределение!С(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-064,TAX-EDGE-064,Налоги/ФОТ,ЗП за февраль 2025.xlsx,FILE-037,VER-019-002,ДДС 2025.xlsx,FILE-018,VER-007-002,Payroll calculation ↔ ДДС payroll cash,2025-02,month + displayed control total,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-064,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | displayed_control_total,payroll_batch_id | payment_date | employer_id,employer_id:Распределение!О(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-065,TAX-EDGE-065,Налоги/ФОТ,ЗП за февраль 2025.xlsx,FILE-037,VER-019-002,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,VER-006-001,Payroll rows ↔ bank registry,2025-02,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-065,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,date | amount | account,employee_id | payroll_batch_id | bank_payment_id,employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | bank_payment_id:Распределение!О(70) | bank_payment_id:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-066,TAX-EDGE-066,Налоги/ФОТ,ЗП за февраль 2025.xlsx,FILE-037,VER-019-002,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,VER-003-001,Payroll rows ↔ bank registry,2025-02,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-066,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,date | amount | account,employee_id | payroll_batch_id | bank_payment_id,employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | bank_payment_id:Распределение!О(70) | bank_payment_id:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-067,TAX-EDGE-067,Налоги/ФОТ,ЗП за февраль 2025.xlsx,FILE-037,VER-019-002,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,VER-002-003,Payroll accrual ↔ tax form,2025-02,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-067,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,Точный дубль,BLOCKED for production join — missing primary key/register,Evidence status unchanged; technical reproducibility improves after defect closure,4,No
LCFG-068,TAX-EDGE-068,Налоги/ФОТ,ЗП за февраль 2025.xlsx,FILE-037,VER-019-002,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,VER-001-002,Payroll accrual ↔ tax form,2025-02,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-068,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-069,TAX-EDGE-069,Налоги/ФОТ,ЗП за февраль 2025.xlsx,FILE-037,VER-019-002,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,VER-021-002,Payroll accrual ↔ tax form,2025-02,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-069,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-070,TAX-EDGE-070,Налоги/ФОТ,ЗП за февраль 2025.xlsx,FILE-037,VER-019-002,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,VER-021-002,Payroll accrual ↔ tax form,2025-02,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-070,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-071,TAX-EDGE-071,Налоги/ФОТ,ЗП за февраль 2025.xlsx,FILE-037,VER-019-002,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,VER-020-002,Payroll accrual ↔ tax form,2025-02,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-071,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-072,TAX-EDGE-072,Налоги/ФОТ,ЗП за февраль 2025.xlsx,FILE-037,VER-019-002,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,VER-020-002,Payroll accrual ↔ tax form,2025-02,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-072,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-073,TAX-EDGE-073,Налоги/ФОТ,ЗП за февраль 2026.xlsx,FILE-038,VER-019-008,ДДС 2026.xlxs.xlsx,FILE-019,VER-007-003,Payroll calculation ↔ ДДС payroll cash,2026-02,month + displayed control total,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-073,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | displayed_control_total,payroll_batch_id | payment_date | employer_id,employer_id:Распределение!О(70),,#REF! | Внешние ссылки,BLOCKED for production join — missing primary key/register,Evidence status unchanged; technical reproducibility improves after defect closure,3,No
LCFG-074,TAX-EDGE-074,Налоги/ФОТ,ЗП за февраль 2026.xlsx,FILE-038,VER-019-008,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,VER-006-001,Payroll rows ↔ bank registry,2026-02,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-074,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,date | amount | account,employee_id | payroll_batch_id | bank_payment_id,employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | bank_payment_id:Распределение!О(70) | bank_payment_id:Распределение!П(70),,#REF!,BLOCKED for production join — missing primary key/register,Evidence status unchanged; technical reproducibility improves after defect closure,3,No
LCFG-075,TAX-EDGE-075,Налоги/ФОТ,ЗП за февраль 2026.xlsx,FILE-038,VER-019-008,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,VER-003-001,Payroll rows ↔ bank registry,2026-02,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-075,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,date | amount | account,employee_id | payroll_batch_id | bank_payment_id,employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | bank_payment_id:Распределение!О(70) | bank_payment_id:Распределение!П(70),,#REF!,BLOCKED for production join — missing primary key/register,Evidence status unchanged; technical reproducibility improves after defect closure,3,No
LCFG-076,TAX-EDGE-076,Налоги/ФОТ,ЗП за февраль 2026.xlsx,FILE-038,VER-019-008,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,FILE-063,VER-021-003,Payroll accrual ↔ tax form,2026-02,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-076,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,#REF!,BLOCKED for production join — missing primary key/register,Evidence status unchanged; technical reproducibility improves after defect closure,4,No
LCFG-077,TAX-EDGE-077,Налоги/ФОТ,ЗП за февраль 2026.xlsx,FILE-038,VER-019-008,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,FILE-063,VER-021-003,Payroll accrual ↔ tax form,2026-02,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-077,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,#REF!,BLOCKED for production join — missing primary key/register,Evidence status unchanged; technical reproducibility improves after defect closure,4,No
